time,side,price,shares,amount,commission,stamp_tax,cash_after,position_shares,asset,position_pct,reason,detail,execution_source,orderbook_fallback
2026-01-05 10:34:00,BUY,28.35,24600,697410.0,69.741,0.0,302520.259,24600,999930.259,0.697459,initial 70% base position,seed=70pct,price,False
2026-01-07 10:15:00,SELL,29.26,6200,181412.0,18.1412,90.706,483823.4118,18400,1022207.4118,0.526688,V5 cross-day reduce,cross_sell=0.45 target=52.8% timing=0.53 day_dev=1.82% local_dev=1.36% vel=0.48% acc=-1.44% vol=2.0x,price,False
2026-01-07 11:04:00,SELL,30.16,1800,54288.0,5.4288,27.144,538078.839,16600,1038734.839,0.481986,V5 cross-day reduce,cross_sell=0.57 target=48.2% timing=0.84 day_dev=3.52% local_dev=1.55% vel=0.10% acc=-2.66% vol=2.0x,price,False
2026-01-09 13:05:00,SELL,31.65,3200,101280.0,10.128,50.64,639298.071,13400,1063408.071,0.398821,V5 local trim,trim=1.00 day_dev=8.04% local_dev=4.01% vel=-1.56% acc=-13.07% vol=2.3x,price,False
2026-01-12 10:05:00,SELL,35.0,800,28000.0,5.0,14.0,667279.071,12600,1108279.071,0.397914,V5 local trim,trim=0.78 day_dev=3.13% local_dev=1.75% vel=0.00% acc=-1.71% vol=0.7x,price,False
2026-01-12 10:07:00,BUY,34.57,100,3457.0,5.0,0.0,663817.071,12700,1102856.071,0.398093,V5 floor refill,floor=1.00 day_dev=1.82% local_dev=0.27% vel=-1.34% acc=-3.23% vol=0.7x,price,False
2026-01-12 14:00:00,BUY,35.6,2900,103240.0,10.324,0.0,560566.747,15600,1115926.747,0.497667,V5R regime floor restore,"regime=HIGH_VOLUME_TREND px=35.60 vol_ratio=1.95 score=0.80 regime=HIGH_VOLUME_TREND band=50-100% score=0.80 tags=above_vwap,high_volume,above_ma5",price,False
2026-01-13 10:51:00,SELL,35.87,3200,114784.0,11.4784,57.392,675281.8766,12400,1120069.8766,0.397107,V5 local trim,trim=0.90 day_dev=1.43% local_dev=2.10% vel=0.34% acc=-1.37% vol=1.1x,price,False
2026-01-13 10:55:00,BUY,35.53,100,3553.0,5.0,0.0,671723.8766,12500,1115848.8766,0.398015,V5 floor refill,floor=1.00 day_dev=0.46% local_dev=0.97% vel=0.25% acc=0.39% vol=1.1x,price,False
2026-01-13 11:20:00,BUY,35.01,100,3501.0,5.0,0.0,668217.8766,12600,1109343.8766,0.397646,V5 floor refill,floor=1.00 day_dev=-1.03% local_dev=-1.33% vel=-0.71% acc=-0.65% vol=1.0x,price,False
2026-01-13 14:43:00,BUY,34.51,100,3451.0,5.0,0.0,664761.8766,12700,1103038.8766,0.397336,V5 floor refill,floor=1.00 day_dev=-2.21% local_dev=-1.39% vel=-1.00% acc=-0.38% vol=1.6x,price,False
2026-01-14 11:18:00,SELL,37.38,600,22428.0,5.0,11.214,687173.6626,12100,1139471.6626,0.396937,V5 local trim,trim=0.71 day_dev=3.75% local_dev=1.54% vel=0.08% acc=-1.61% vol=1.1x,price,False
2026-01-14 13:00:00,BUY,36.54,200,7308.0,5.0,0.0,679860.6626,12300,1129302.6626,0.397982,V5 floor refill,floor=1.00 day_dev=1.13% local_dev=-1.45% vel=-2.17% acc=-2.68% vol=1.0x,price,False
2026-01-14 13:16:00,BUY,36.04,100,3604.0,5.0,0.0,676251.6626,12400,1123147.6626,0.397896,V5 floor refill,floor=1.00 day_dev=-0.40% local_dev=-1.86% vel=-1.26% acc=-0.93% vol=1.3x,price,False
2026-01-14 14:05:00,BUY,35.6,100,3560.0,5.0,0.0,672686.6626,12500,1117686.6626,0.398144,V5 floor refill,floor=1.00 day_dev=-1.62% local_dev=-1.63% vel=-0.28% acc=0.42% vol=0.9x,price,False
2026-01-19 10:05:00,SELL,43.72,1400,61208.0,6.1208,30.604,733857.9378,11100,1219149.9378,0.398058,V5 local trim,trim=0.91 day_dev=0.85% local_dev=2.91% vel=1.20% acc=-0.47% vol=0.4x,price,False
2026-01-20 09:33:00,BUY,43.04,100,4304.0,5.0,0.0,729548.9378,11200,1211596.9378,0.397862,V5 floor refill,floor=1.00 day_dev=-1.21% local_dev=-1.21% vel=0.00% acc=0.00% vol=0.0x,price,False
2026-01-20 10:08:00,BUY,42.32,100,4232.0,5.0,0.0,725311.9378,11300,1203527.9378,0.397345,V5 floor refill,floor=1.00 day_dev=-1.99% local_dev=-1.59% vel=-1.79% acc=-1.16% vol=1.0x,price,False
2026-01-20 10:25:00,BUY,41.78,100,4178.0,5.0,0.0,721128.9378,11400,1197420.9378,0.397765,V5 floor refill,floor=1.00 day_dev=-2.81% local_dev=-1.97% vel=-1.02% acc=-1.47% vol=0.8x,price,False
2026-01-20 10:38:00,SELL,43.5,300,13050.0,5.0,6.525,734167.4128,11100,1217017.4128,0.396749,V5 local trim,trim=0.89 day_dev=1.30% local_dev=2.70% vel=1.47% acc=-0.43% vol=1.0x,price,False
2026-01-20 14:31:00,BUY,43.03,100,4303.0,5.0,0.0,729859.4128,11200,1211795.4128,0.397704,V5 floor refill,floor=1.00 day_dev=-0.53% local_dev=-0.83% vel=-0.53% acc=-0.03% vol=0.9x,price,False
2026-01-21 10:00:00,SELL,47.2,600,28320.0,5.0,14.16,758160.2528,10600,1258480.2528,0.397559,V5 local trim,trim=1.00 day_dev=3.16% local_dev=2.84% vel=0.23% acc=-1.65% vol=1.0x,price,False
2026-01-22 09:35:00,BUY,46.19,200,9238.0,5.0,0.0,748917.2528,10800,1247769.2528,0.399795,V5 floor refill,floor=1.00 day_dev=-1.51% local_dev=-1.51% vel=-2.08% acc=-2.08% vol=0.0x,price,False
2026-01-23 10:07:00,BUY,45.17,100,4517.0,5.0,0.0,744395.2528,10900,1236748.2528,0.398103,V5 floor refill,floor=1.00 day_dev=-2.13% local_dev=-1.36% vel=-1.33% acc=-1.55% vol=0.6x,price,False
2026-01-26 09:34:00,BUY,44.41,100,4441.0,5.0,0.0,739949.2528,11000,1228459.2528,0.397661,V5 floor refill,floor=1.00 day_dev=-0.99% local_dev=-0.99% vel=0.00% acc=0.00% vol=0.0x,price,False
2026-01-26 10:22:00,SELL,46.8,300,14040.0,5.0,7.02,753977.2328,10700,1254737.2328,0.399096,V5 local trim,trim=0.82 day_dev=3.32% local_dev=1.87% vel=-1.06% acc=-3.88% vol=0.9x,price,False
2026-01-26 10:46:00,BUY,45.99,100,4599.0,5.0,0.0,749373.2328,10800,1246065.2328,0.398608,V5 floor refill,floor=1.00 day_dev=1.01% local_dev=-1.81% vel=-1.12% acc=-0.33% vol=0.6x,price,False
2026-01-26 13:55:00,BUY,45.3,100,4530.0,5.0,0.0,744838.2328,10900,1238608.2328,0.398649,V5 floor refill,floor=1.00 day_dev=-0.77% local_dev=-0.91% vel=-0.66% acc=-0.75% vol=0.8x,price,False
2026-01-27 10:25:00,SELL,48.47,400,19388.0,5.0,9.694,764211.5388,10500,1273146.5388,0.399746,V5 local trim,trim=1.00 day_dev=3.79% local_dev=2.50% vel=-0.82% acc=-5.44% vol=1.2x,price,False
2026-01-29 13:20:00,BUY,47.5,100,4750.0,5.0,0.0,759456.5388,10600,1262956.5388,0.398668,V5 floor refill,floor=1.00 day_dev=-1.98% local_dev=-0.42% vel=-0.31% acc=-0.42% vol=0.5x,price,False
