time,side,price,shares,amount,commission,stamp_tax,cash_after,position_shares,asset,position_pct,reason,detail,execution_source,orderbook_fallback
2026-01-05 10:34:00,BUY,28.35,24600,697410.0,69.741,0.0,302520.259,24600,999930.259,0.697459,initial 70% base position,seed=70pct,price,False
2026-01-07 10:15:00,SELL,29.26,6200,181412.0,18.1412,90.706,483823.4118,18400,1022207.4118,0.526688,V5 cross-day reduce,cross_sell=0.45 target=52.8% timing=0.53 day_dev=1.82% local_dev=1.36% vel=0.48% acc=-1.44% vol=2.0x,price,False
2026-01-07 11:04:00,SELL,30.16,1800,54288.0,5.4288,27.144,538078.839,16600,1038734.839,0.481986,V5 cross-day reduce,cross_sell=0.57 target=48.2% timing=0.84 day_dev=3.52% local_dev=1.55% vel=0.10% acc=-2.66% vol=2.0x,price,False
2026-01-09 13:05:00,SELL,31.65,3200,101280.0,10.128,50.64,639298.071,13400,1063408.071,0.398821,V5 local trim,trim=1.00 day_dev=8.04% local_dev=4.01% vel=-1.56% acc=-13.07% vol=2.3x,price,False
2026-01-12 10:05:00,SELL,35.0,800,28000.0,5.0,14.0,667279.071,12600,1108279.071,0.397914,V5 local trim,trim=0.78 day_dev=3.13% local_dev=1.75% vel=0.00% acc=-1.71% vol=0.7x,price,False
2026-01-12 10:07:00,BUY,34.57,100,3457.0,5.0,0.0,663817.071,12700,1102856.071,0.398093,V5 floor refill,floor=1.00 day_dev=1.82% local_dev=0.27% vel=-1.34% acc=-3.23% vol=0.7x,price,False
2026-01-13 10:51:00,SELL,35.87,300,10761.0,5.0,5.3805,674567.6905,12400,1119355.6905,0.397361,V5 local trim,trim=0.90 day_dev=1.43% local_dev=2.10% vel=0.34% acc=-1.37% vol=1.1x,price,False
2026-01-13 11:06:00,BUY,35.47,100,3547.0,5.0,0.0,671015.6905,12500,1114390.6905,0.397863,V5 floor refill,floor=1.00 day_dev=0.23% local_dev=-0.24% vel=-0.50% acc=-0.56% vol=1.6x,price,False
2026-01-13 11:20:00,BUY,35.01,100,3501.0,5.0,0.0,667509.6905,12600,1108635.6905,0.3979,V5 floor refill,floor=1.00 day_dev=-1.03% local_dev=-1.33% vel=-0.71% acc=-0.65% vol=1.0x,price,False
2026-01-13 14:43:00,BUY,34.51,100,3451.0,5.0,0.0,664053.6905,12700,1102330.6905,0.397591,V5 floor refill,floor=1.00 day_dev=-2.21% local_dev=-1.39% vel=-1.00% acc=-0.38% vol=1.6x,price,False
2026-01-14 11:18:00,SELL,37.38,600,22428.0,5.0,11.214,686465.4765,12100,1138763.4765,0.397183,V5 local trim,trim=0.71 day_dev=3.75% local_dev=1.54% vel=0.08% acc=-1.61% vol=1.1x,price,False
2026-01-14 13:00:00,BUY,36.54,200,7308.0,5.0,0.0,679152.4765,12300,1128594.4765,0.398232,V5 floor refill,floor=1.00 day_dev=1.13% local_dev=-1.45% vel=-2.17% acc=-2.68% vol=1.0x,price,False
2026-01-14 13:16:00,BUY,36.04,100,3604.0,5.0,0.0,675543.4765,12400,1122439.4765,0.398147,V5 floor refill,floor=1.00 day_dev=-0.40% local_dev=-1.86% vel=-1.26% acc=-0.93% vol=1.3x,price,False
2026-01-14 14:07:00,BUY,35.52,100,3552.0,5.0,0.0,671986.4765,12500,1115986.4765,0.397854,V5 floor refill,floor=1.00 day_dev=-1.83% local_dev=-1.79% vel=-0.50% acc=-0.28% vol=0.7x,price,False
2026-01-19 10:05:00,SELL,43.72,1400,61208.0,6.1208,30.604,733157.7517,11100,1218449.7517,0.398286,V5 local trim,trim=0.91 day_dev=0.85% local_dev=2.91% vel=1.20% acc=-0.47% vol=0.4x,price,False
2026-01-20 09:33:00,BUY,43.04,100,4304.0,5.0,0.0,728848.7517,11200,1210896.7517,0.398092,V5 floor refill,floor=1.00 day_dev=-1.21% local_dev=-1.21% vel=0.00% acc=0.00% vol=0.0x,price,False
2026-01-20 10:08:00,BUY,42.32,100,4232.0,5.0,0.0,724611.7517,11300,1202827.7517,0.397576,V5 floor refill,floor=1.00 day_dev=-1.99% local_dev=-1.59% vel=-1.79% acc=-1.16% vol=1.0x,price,False
2026-01-20 10:25:00,BUY,41.78,100,4178.0,5.0,0.0,720428.7517,11400,1196720.7517,0.397998,V5 floor refill,floor=1.00 day_dev=-2.81% local_dev=-1.97% vel=-1.02% acc=-1.47% vol=0.8x,price,False
2026-01-20 10:38:00,SELL,43.5,300,13050.0,5.0,6.525,733467.2267,11100,1216317.2267,0.396977,V5 local trim,trim=0.89 day_dev=1.30% local_dev=2.70% vel=1.47% acc=-0.43% vol=1.0x,price,False
2026-01-20 14:31:00,BUY,43.03,100,4303.0,5.0,0.0,729159.2267,11200,1211095.2267,0.397934,V5 floor refill,floor=1.00 day_dev=-0.53% local_dev=-0.83% vel=-0.53% acc=-0.03% vol=0.9x,price,False
2026-01-21 10:00:00,SELL,47.2,600,28320.0,5.0,14.16,757460.0667,10600,1257780.0667,0.39778,V5 local trim,trim=1.00 day_dev=3.16% local_dev=2.84% vel=0.23% acc=-1.65% vol=1.0x,price,False
2026-01-22 09:35:00,BUY,46.19,100,4619.0,5.0,0.0,752836.0667,10700,1247069.0667,0.396316,V5 floor refill,floor=1.00 day_dev=-1.51% local_dev=-1.51% vel=-2.08% acc=-2.08% vol=0.0x,price,False
2026-01-22 09:48:00,BUY,45.93,100,4593.0,5.0,0.0,748238.0667,10800,1244282.0667,0.398659,V5 floor refill,floor=1.00 day_dev=-1.55% local_dev=-1.55% vel=-1.27% acc=-1.10% vol=0.0x,price,False
2026-01-23 10:07:00,BUY,45.17,100,4517.0,5.0,0.0,743716.0667,10900,1236069.0667,0.398322,V5 floor refill,floor=1.00 day_dev=-2.13% local_dev=-1.36% vel=-1.33% acc=-1.55% vol=0.6x,price,False
2026-01-26 09:34:00,BUY,44.41,100,4441.0,5.0,0.0,739270.0667,11000,1227780.0667,0.397881,V5 floor refill,floor=1.00 day_dev=-0.99% local_dev=-0.99% vel=0.00% acc=0.00% vol=0.0x,price,False
2026-01-26 10:22:00,SELL,46.8,300,14040.0,5.0,7.02,753298.0467,10700,1254058.0467,0.399312,V5 local trim,trim=0.82 day_dev=3.32% local_dev=1.87% vel=-1.06% acc=-3.88% vol=0.9x,price,False
2026-01-26 10:50:00,BUY,45.81,100,4581.0,5.0,0.0,748712.0467,10800,1243460.0467,0.39788,V5 floor refill,floor=1.00 day_dev=0.60% local_dev=-1.88% vel=-0.87% acc=0.25% vol=0.9x,price,False
2026-01-26 13:56:00,BUY,45.16,100,4516.0,5.0,0.0,744191.0467,10900,1236435.0467,0.398116,V5 floor refill,floor=1.00 day_dev=-1.07% local_dev=-1.06% vel=-0.86% acc=-0.99% vol=1.2x,price,False
2026-01-27 10:25:00,SELL,48.47,400,19388.0,5.0,9.694,763564.3527,10500,1272499.3527,0.399949,V5 local trim,trim=1.00 day_dev=3.79% local_dev=2.50% vel=-0.82% acc=-5.44% vol=1.2x,price,False
2026-01-29 13:21:00,BUY,47.46,100,4746.0,5.0,0.0,758813.3527,10600,1261889.3527,0.398669,V5 floor refill,floor=1.00 day_dev=-2.06% local_dev=-0.49% vel=-0.42% acc=-0.71% vol=0.5x,price,False
