local_time_ms,server_time,price,open,high,low,prev_close,cum_volume,cum_amount,tick_vol,tick_amt,tick_vwap,bp1,bv1,bp2,bv2,bp3,bv3,bp4,bv4,bp5,bv5,sp1,sv1,sp2,sv2,sp3,sv3,sp4,sv4,sp5,sv5,vwap,vwap_dev,velocity,acceleration,vol_mom,spread_bps,day_return,bid_total_vol,ask_total_vol,orderbook_imbalance,signal
1779934138601,10:08:54,48.77,49.8,50.56,48.3,49.76,3204100,158195413.00,3204100,158195413.00,49.3728,48.74,100,48.73,1200,48.72,200,48.71,2900,48.7,5700,48.77,100,48.83,1900,48.84,1000,48.85,200,48.86,1000,49.3728,-0.012209,0.000000,0.00000000,0.0000,6.15,-0.019895,10100,4200,0.4126,HOLD
1779934140617,10:08:57,48.75,49.8,50.56,48.3,49.76,3205700,158273414.00,1600,78001.00,48.7506,48.74,200,48.73,1300,48.71,2900,48.7,5900,48.68,1600,48.82,800,48.83,1900,48.84,1000,48.85,200,48.86,1000,49.3725,-0.012608,0.000000,0.00000000,0.0000,16.40,-0.020297,11900,4900,0.4167,HOLD
1779934143635,10:09:00,48.74,49.8,50.56,48.3,49.76,3208000,158385516.00,2300,112102.00,48.7400,48.73,1300,48.71,2900,48.7,6100,48.68,1600,48.67,400,48.74,100,48.77,600,48.79,200,48.82,900,48.83,1900,49.3720,-0.012802,0.000000,0.00000000,0.0000,2.05,-0.020498,12300,3700,0.5375,HOLD
1779934146660,10:09:03,48.74,49.8,50.56,48.3,49.76,3213400,158648675.00,5400,263159.00,48.7331,48.74,1800,48.72,200,48.71,2700,48.7,6300,48.68,1600,48.75,300,48.76,100,48.77,200,48.79,400,48.82,900,49.3710,-0.012780,0.000000,0.00000000,0.0000,2.05,-0.020498,12600,1900,0.7379,HOLD
1779934148683,10:09:06,48.74,49.8,50.56,48.3,49.76,3216200,158785141.00,2800,136466.00,48.7379,48.73,500,48.72,100,48.71,1700,48.7,6300,48.68,1900,48.75,300,48.77,200,48.79,400,48.82,900,48.83,1900,49.3704,-0.012769,0.000000,0.00000000,1.0000,4.10,-0.020498,10500,3700,0.4789,HOLD
1779934152718,10:09:09,48.73,49.8,50.56,48.3,49.76,3216900,158819256.00,700,34115.00,48.7357,48.73,300,48.72,100,48.71,1700,48.7,6100,48.68,2000,48.74,4300,48.75,300,48.77,200,48.79,200,48.82,100,49.3703,-0.012969,-0.000820,-0.00082018,1.0000,2.05,-0.020699,10200,5100,0.3333,HOLD
1779934154736,10:09:12,48.73,49.8,50.56,48.3,49.76,3217300,158838748.00,400,19492.00,48.7300,48.72,100,48.71,1700,48.7,6100,48.68,2000,48.67,400,48.73,300,48.74,4600,48.75,300,48.77,200,48.79,200,49.3702,-0.012967,-0.000410,-0.00041026,1.0000,2.05,-0.020699,10300,5600,0.2956,HOLD
1779934158774,10:09:15,48.72,49.8,50.56,48.3,49.76,3220100,158975149.00,2800,136401.00,48.7146,48.7,6100,48.68,2000,48.67,400,48.66,1200,48.65,300,48.72,200,48.73,7100,48.74,4700,48.75,400,48.77,400,49.3696,-0.013159,-0.000410,-0.00041034,1.0000,4.11,-0.020900,10000,12800,-0.1228,HOLD
1779934161809,10:09:18,48.83,49.8,50.56,48.3,49.76,3236000,159750018.00,15900,774869.00,48.7339,48.75,100,48.74,200,48.73,1100,48.72,100,48.71,500,48.83,1600,48.85,200,48.86,900,48.87,200,48.93,600,49.3665,-0.010868,0.001847,0.00184653,1.0000,16.40,-0.018690,2000,3500,-0.2727,HOLD
1779934163834,10:09:21,48.83,49.8,50.56,48.3,49.76,3237300,159813497.00,1300,63479.00,48.8300,48.76,700,48.75,100,48.74,200,48.73,300,48.72,200,48.83,300,48.85,200,48.86,900,48.87,200,48.93,600,49.3663,-0.010864,0.001847,0.00184653,1.0000,14.35,-0.018690,1500,2200,-0.1892,HOLD
