local_time_ms,server_time,price,open,high,low,prev_close,cum_volume,cum_amount,bp1,bv1,bp2,bv2,bp3,bv3,bp4,bv4,bp5,bv5,sp1,sv1,sp2,sv2,sp3,sv3,sp4,sv4,sp5,sv5,signal
1781486700088,09:24:57,39.31,0.0,0.0,0.0,38.93,0.0,0.0,39.31,10300,0.0,200,0.0,0,0.0,0,0.0,0,39.31,10300,0.0,0,0.0,0,0.0,0,0.0,0,HOLD
1781486703083,09:25:00,39.34,39.34,39.34,39.34,38.93,11800.0,460000.0,39.31,300,39.18,2400,39.09,400,39.02,200,39.01,100,39.34,2100,39.35,100,39.38,1000,39.45,900,39.48,200,HOLD
1781486784303,09:26:21,39.34,39.34,39.34,39.34,38.93,11800.0,460000.0,39.31,300,39.18,2400,39.09,400,39.02,200,39.01,100,39.34,2100,39.35,100,39.38,1000,39.45,900,39.48,200,HOLD
1781486844493,09:27:21,39.34,39.34,39.34,39.34,38.93,11800.0,460000.0,39.31,300,39.18,2400,39.09,400,39.02,200,39.01,100,39.34,2100,39.35,100,39.38,1000,39.45,900,39.48,200,HOLD
1781486904673,09:28:21,39.34,39.34,39.34,39.34,38.93,11800.0,460000.0,39.31,300,39.18,2400,39.09,400,39.02,200,39.01,100,39.34,2100,39.35,100,39.38,1000,39.45,900,39.48,200,HOLD
1781486964855,09:29:21,39.34,39.34,39.34,39.34,38.93,11800.0,460000.0,39.31,300,39.18,2400,39.09,400,39.02,200,39.01,100,39.34,2100,39.35,100,39.38,1000,39.45,900,39.48,200,HOLD
1781487006968,09:30:03,39.44,39.34,39.49,39.18,38.93,45200.0,1780000.0,39.44,100,39.39,38800,39.38,12300,39.37,400,39.36,100,39.48,100,39.49,1400,39.5,8600,39.54,600,39.55,600,HOLD
1781487009982,09:30:06,39.5,39.34,39.6,39.18,38.93,69700.0,2750000.0,39.5,26500,39.49,10500,39.48,7100,39.46,100,39.45,200,39.55,800,39.58,300,39.6,4100,39.66,100,39.68,1300,HOLD
1781487012987,09:30:09,39.59,39.34,39.6,39.18,38.93,73600.0,2900000.0,39.59,22700,39.58,1200,39.57,200,39.56,800,39.55,14100,39.6,3200,39.66,100,39.68,1300,39.7,200,39.74,400,HOLD
1781487016000,09:30:12,39.68,39.34,39.68,39.18,38.93,79600.0,3140000.0,39.68,21700,39.66,11800,39.64,22700,39.63,400,39.62,1500,39.7,200,39.74,400,39.77,200,39.79,900,39.8,4700,HOLD
1781487019008,09:30:15,39.74,39.34,39.8,39.18,38.93,100700.0,3980000.0,39.77,100,39.74,7900,39.73,200,39.72,800,39.71,600,39.8,1100,39.81,200,39.82,2000,39.83,3300,39.84,1300,HOLD
1781487022022,09:30:18,39.72,39.34,39.82,39.18,38.93,117600.0,4650000.0,39.7,15800,39.69,700,39.68,300,39.67,100,39.66,100,39.72,600,39.74,3100,39.77,3400,39.8,200,39.82,1900,HOLD
1781487025028,09:30:21,39.66,39.34,39.82,39.18,38.93,160600.0,6360000.0,39.61,1500,39.6,16300,39.59,200,39.56,600,39.55,1500,39.66,6600,39.67,300,39.68,700,39.69,1000,39.7,2900,HOLD
1781487028027,09:30:24,39.61,39.34,39.82,39.18,38.93,169000.0,6690000.0,39.6,4100,39.59,100,39.56,600,39.55,5100,39.5,26600,39.61,200,39.64,700,39.65,4800,39.66,6600,39.67,200,HOLD
1781487031034,09:30:27,39.58,39.34,39.82,39.18,38.93,178700.0,7070000.0,39.55,4100,39.5,26900,39.49,900,39.48,500,39.4,5200,39.58,1200,39.6,12400,39.61,5500,39.65,3900,39.66,100,HOLD
1781487034049,09:30:30,39.5,39.34,39.82,39.18,38.93,189800.0,7510000.0,39.5,24900,39.49,900,39.48,500,39.4,4200,39.39,100,39.51,900,39.55,1200,39.58,200,39.6,14100,39.61,8200,HOLD
1781487037054,09:30:33,39.49,39.34,39.82,39.18,38.93,195500.0,7740000.0,39.49,1400,39.48,1600,39.4,4200,39.39,100,39.36,700,39.5,300,39.58,400,39.6,6200,39.61,2900,39.65,4700,HOLD
1781487040060,09:30:36,39.49,39.34,39.82,39.18,38.93,208800.0,8260000.0,39.48,800,39.4,300,39.39,100,39.36,700,39.35,3700,39.49,600,39.5,5000,39.58,400,39.6,4400,39.61,1300,HOLD
1781487043073,09:30:39,39.47,39.34,39.82,39.18,38.93,212200.0,8400000.0,39.39,400,39.36,700,39.35,3700,39.34,4000,39.32,700,39.47,1600,39.48,200,39.49,1600,39.5,6900,39.55,1000,HOLD
1781487046085,09:30:42,39.4,39.34,39.82,39.18,38.93,217500.0,8610000.0,39.39,400,39.36,700,39.35,3700,39.34,4000,39.32,700,39.49,1400,39.5,5800,39.55,3000,39.58,200,39.6,3400,HOLD
1781487049101,09:30:45,39.44,39.34,39.82,39.18,38.93,221200.0,8750000.0,39.44,2600,39.4,4700,39.39,400,39.36,700,39.35,3700,39.47,200,39.49,800,39.5,6400,39.55,3000,39.6,3400,HOLD
1781487052106,09:30:48,39.39,39.34,39.82,39.18,38.93,234400.0,9270000.0,39.36,700,39.35,3700,39.34,5100,39.32,700,39.31,300,39.39,3700,39.42,2600,39.47,200,39.5,4300,39.55,3000,HOLD
1781487055120,09:30:51,39.39,39.34,39.82,39.18,38.93,240900.0,9530000.0,39.39,22300,39.36,700,39.35,4100,39.34,5300,39.32,700,39.42,400,39.44,800,39.47,200,39.5,3500,39.55,3000,HOLD
1781487058127,09:30:54,39.42,39.34,39.82,39.18,38.93,248500.0,9830000.0,39.42,10500,39.41,400,39.4,1800,39.39,2500,39.36,800,39.44,200,39.47,100,39.48,1000,39.5,3500,39.55,3000,HOLD
1781487061129,09:30:57,39.44,39.34,39.82,39.18,38.93,252600.0,9990000.0,39.44,5600,39.43,300,39.42,9900,39.41,700,39.4,2200,39.48,900,39.5,3100,39.55,3000,39.6,400,39.61,1200,HOLD
1781487064140,09:31:00,39.48,39.34,39.82,39.18,38.93,254600.0,10070000.0,39.47,400,39.45,800,39.44,5600,39.43,300,39.42,3200,39.5,6800,39.55,3000,39.6,400,39.61,1200,39.65,800,HOLD
1781487067149,09:31:03,39.49,39.34,39.82,39.18,38.93,257700.0,10190000.0,39.48,1300,39.46,100,39.45,300,39.44,1000,39.43,300,39.49,500,39.5,5800,39.55,3000,39.6,400,39.61,1200,HOLD
1781487070162,09:31:06,39.48,39.34,39.82,39.18,38.93,262900.0,10400000.0,39.46,300,39.45,400,39.44,1000,39.43,300,39.42,2900,39.48,5800,39.49,700,39.5,5800,39.55,3000,39.6,400,HOLD
1781487073165,09:31:09,39.46,39.34,39.82,39.18,38.93,268200.0,10610000.0,39.45,400,39.44,900,39.43,500,39.42,2900,39.41,700,39.46,1200,39.47,200,39.48,7100,39.49,700,39.5,5800,HOLD
1781487076176,09:31:12,39.48,39.34,39.82,39.18,38.93,276900.0,10950000.0,39.44,700,39.43,500,39.42,2500,39.41,700,39.4,1500,39.45,1400,39.48,12700,39.49,1300,39.5,5800,39.55,3000,HOLD
1781487079184,09:31:15,39.45,39.34,39.82,39.18,38.93,285200.0,11280000.0,39.42,2100,39.41,700,39.4,1500,39.39,3700,39.36,1000,39.45,9500,39.48,11700,39.49,800,39.5,5800,39.55,3000,HOLD
1781487082195,09:31:18,39.43,39.34,39.82,39.18,38.93,292100.0,11550000.0,39.42,100,39.4,2800,39.39,1900,39.36,1000,39.35,3600,39.44,900,39.45,11300,39.47,3300,39.48,11700,39.49,800,HOLD
1781487085201,09:31:21,39.4,39.34,39.82,39.18,38.93,297500.0,11760000.0,39.4,800,39.39,2100,39.36,1000,39.35,3600,39.34,4200,39.41,400,39.42,200,39.43,300,39.45,12200,39.47,3300,HOLD
1781487088199,09:31:24,39.42,39.34,39.82,39.18,38.93,301000.0,11900000.0,39.41,1200,39.4,1600,39.39,2600,39.36,1600,39.35,4100,39.42,100,39.44,200,39.45,14400,39.48,12100,39.49,800,HOLD
1781487091206,09:31:27,39.45,39.34,39.82,39.18,38.93,317600.0,12550000.0,39.45,7300,39.44,1200,39.43,200,39.42,10100,39.41,2700,39.48,11100,39.49,800,39.5,5500,39.54,100,39.55,3000,HOLD
1781487094217,09:31:30,39.5,39.34,39.82,39.18,38.93,337700.0,13350000.0,39.5,2900,39.49,1200,39.48,2400,39.47,700,39.46,1700,39.54,100,39.55,3000,39.6,300,39.61,1200,39.65,900,HOLD
