date,open,high,low,close,vwap,volume,regime,tags,confidence,floor_pct,ceiling_pct,fwd_1d_return,fwd_3d_return,fwd_5d_return,fwd_5d_max_dd
2026-01-05,28.35,28.9,28.27,28.81,28.67,11470483.0,RANGE,above_vwap,0.35,0.45,0.85,-1.666,4.061,21.659,3.787
2026-01-06,28.33,28.41,27.44,28.33,27.94,18708329.0,RANGE,above_vwap|high_volume|below_ma5,0.35,0.45,0.85,9.989,15.849,22.061,3.787
2026-01-07,28.77,31.16,28.19,31.16,29.64,20051636.0,RANGE,above_vwap|above_ma5,0.35,0.45,0.85,-3.787,12.484,15.244,3.787
2026-01-08,30.59,30.8,29.58,29.98,30.15,31166214.0,RANGE,below_vwap|rejected_dense_zone|high_volume|above_ma5,0.35,0.45,0.85,9.473,15.344,31.755,1.341
2026-01-09,28.92,32.98,28.12,32.82,30.82,50449181.0,RANGE,above_vwap|high_volume|high_volatility|above_ma5,0.35,0.45,0.85,6.795,9.415,32.389,1.341
2026-01-12,32.98,35.9,32.48,35.05,34.46,43103908.0,TREND_UP,above_vwap|high_volume|high_volatility|above_ma5,0.62,0.7,1.0,-1.341,12.696,28.245,1.341
2026-01-13,35.15,36.2,34.43,34.58,35.21,28912281.0,WEAK,below_vwap|rejected_dense_zone|above_ma5,0.62,0.4,0.7,3.846,25.651,26.113,2.981
2026-01-14,35.09,37.58,34.89,35.91,36.16,26758323.0,WEAK,below_vwap|rejected_dense_zone|above_ma5,0.62,0.4,0.7,9.997,25.174,33.138,2.981
2026-01-15,36.28,39.5,36.28,39.5,38.5,32446978.0,TREND_UP,above_vwap|above_ma5,0.62,0.7,1.0,10.0,10.405,22.076,2.981
2026-01-16,41.05,43.45,40.91,43.45,42.33,24029087.0,TREND_UP,above_vwap|above_ma5,0.62,0.7,1.0,3.452,10.035,4.465,5.869
2026-01-19,45.5,45.66,41.81,44.95,43.77,38264079.0,TREND_UP,above_vwap|high_volatility|higher_lows|above_ma5,0.7,0.7,1.0,-2.981,7.275,1.913,5.869
2026-01-20,44.0,44.57,41.73,43.61,43.27,25441397.0,TREND_UP,above_vwap|higher_lows|above_ma5,0.7,0.7,1.0,9.631,4.082,15.547,5.869
2026-01-21,43.28,47.97,43.28,47.81,46.82,26106078.0,TREND_UP,above_vwap|accepted_dense_zone|higher_lows|above_ma5,0.7,0.7,1.0,0.858,-4.183,4.162,5.869
2026-01-22,47.17,49.44,45.93,48.22,47.41,24521537.0,TREND_UP,above_vwap|accepted_dense_zone|higher_lows|above_ma5,0.7,0.7,1.0,-5.869,4.5,-3.567,7.72
2026-01-23,47.11,47.11,44.6,45.39,45.8,24088857.0,WEAK,below_vwap|rejected_dense_zone|higher_lows|below_ma5,0.62,0.4,0.7,0.925,9.716,-1.74,11.49
2026-01-26,45.03,47.3,44.15,45.81,45.6,19430867.0,RANGE,above_vwap|near_dense_zone|higher_lows|below_ma5,0.5,0.45,0.85,9.998,1.506,-3.842,12.582
